source,destination,edgeContent,timestamp,edgeType
dianaaryeh,amit_segal,https://twitter.com/dianaaryeh/status/1640247235244965889,2023-03-27T06:59:49.000Z,reply
dianaaryeh,Nehemia_GA,https://twitter.com/dianaaryeh/status/1640247235244965889,2023-03-27T06:59:49.000Z,mention
_RayV_,ntiyft,https://twitter.com/_RayV_/status/1640247228764659714,2023-03-27T06:59:48.000Z,retweet
kann_news,yaara_shapira,https://twitter.com/kann_news/status/1640247200314802178,2023-03-27T06:59:41.000Z,mention
Data2364,yairlapid,https://twitter.com/Data2364/status/1640247158644305921,2023-03-27T06:59:31.000Z,retweet
Hammer86R,N12News,https://twitter.com/Hammer86R/status/1640247139124101122,2023-03-27T06:59:26.000Z,retweet
VardiEyal,IskaBina,https://twitter.com/VardiEyal/status/1640247088373014530,2023-03-27T06:59:14.000Z,reply
XQuiql5V6JZExCE,talor777gmailco,https://twitter.com/XQuiql5V6JZExCE/status/1640247023302574080,2023-03-27T06:58:59.000Z,retweet
CarolineTatum28,iiidddaaannn,https://twitter.com/CarolineTatum28/status/1640247012007329793,2023-03-27T06:58:56.000Z,retweet
AditMizrahi,kereneubach,https://twitter.com/AditMizrahi/status/1640247009457102850,2023-03-27T06:58:56.000Z,retweet
DaliaAlush,AviBenayahu,https://twitter.com/DaliaAlush/status/1640246986438836225,2023-03-27T06:58:50.000Z,retweet
Aviad_News,Nifla_Po,https://twitter.com/Aviad_News/status/1640246983691468800,2023-03-27T06:58:49.000Z,retweet
Amihai14,shilobesheva,https://twitter.com/Amihai14/status/1640246947318489095,2023-03-27T06:58:41.000Z,retweet
nothing_legend,YinonMagal,https://twitter.com/nothing_legend/status/1640246947154886661,2023-03-27T06:58:41.000Z,retweet
SusieBurger422,barak_ehud,https://twitter.com/SusieBurger422/status/1640246945145839617,2023-03-27T06:58:40.000Z,retweet
rinio1984,Guy_Baruch,https://twitter.com/rinio1984/status/1640246935004086272,2023-03-27T06:58:38.000Z,retweet
Gilshely,moshik_o,https://twitter.com/Gilshely/status/1640246885091770370,2023-03-27T06:58:26.000Z,reply
hrwn_hrws,zoharm7,https://twitter.com/hrwn_hrws/status/1640246870684336129,2023-03-27T06:58:22.000Z,reply
KaraliasThomas,NadavPerry,https://twitter.com/KaraliasThomas/status/1640246858478911489,2023-03-27T06:58:20.000Z,retweet
t8qZn1leMyF5twy,N12News,https://twitter.com/t8qZn1leMyF5twy/status/1640246846357479426,2023-03-27T06:58:17.000Z,reply
chitowngirl1982,attilus,https://twitter.com/chitowngirl1982/status/1640246829236224000,2023-03-27T06:58:13.000Z,retweet
14AQgpkoDaA1gG6,UriMisgav,https://twitter.com/14AQgpkoDaA1gG6/status/1640246807119757313,2023-03-27T06:58:07.000Z,retweet
_muhahaha,iloveisraell,https://twitter.com/_muhahaha/status/1640246735380389888,2023-03-27T06:57:50.000Z,retweet
XaOzzJz4zXSAc40,Riklin10,https://twitter.com/XaOzzJz4zXSAc40/status/1640246720641507328,2023-03-27T06:57:47.000Z,retweet
omersham,CarolineGlick,https://twitter.com/omersham/status/1640246709681782784,2023-03-27T06:57:44.000Z,reply
